#,Chart_1,Chart_4,Chart_7,Chart_8,Chart_9,Chart_11,Chart_12,Chart_13,Chart_20,Chart_24,Chart_26,Closure_2,Closure_10,Closure_11,Closure_13,Closure_18,Closure_19,Closure_21,Closure_22,Closure_25,Closure_31,Closure_38,Closure_40,Closure_46,Closure_59,Closure_62,Closure_70,Closure_73,Closure_86,Closure_92,Closure_102,Closure_109,Closure_115,Closure_125,Closure_126,Lang_6,Lang_7,Lang_10,Lang_13,Lang_18,Lang_21,Lang_22,Lang_27,Lang_33,Lang_39,Lang_57,Lang_58,Lang_59,Lang_63,Math_3,Math_5,Math_8,Math_11,Math_15,Math_28,Math_30,Math_32,Math_33,Math_50,Math_52,Math_56,Math_57,Math_59,Math_62,Math_63,Math_73,Math_75,Math_79,Math_80,Math_82,Math_85,Math_88,Math_89,Math_94,Math_96,Math_97,Math_101,Mockito_29,Mockito_38,Time_2,Time_7,Time_17,Time_18,Time_19,Time_26
Lang_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang_63,0.413793103,0,0.344827586,0.586206897,0.482758621,0.689655172,0.827586207,0.551724138,0,0.482758621,0,0.034482759,0,0,0,0.965517241,0.586206897,0,0,0,0.103448276,0.586206897,0.551724138,0,0,0.206896552,0.75862069,0,0.655172414,0,0,0,0,0.448275862,0.551724138,0,0,0,0,1,0.655172414,0.655172414,0.586206897,0,0.551724138,0.689655172,0.206896552,0,1,0,0,0.586206897,0.586206897,0,0.827586207,0.586206897,0.586206897,0,0.586206897,0.620689655,0.586206897,0.586206897,0.448275862,0.586206897,0,0,0.034482759,0.655172414,0,0.137931034,0.724137931,0.620689655,0.482758621,0.655172414,0,0.620689655,0,0,0.344827586,0,0.137931034,0.655172414,0.24137931,0.655172414,0.931034483
Math_3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Math_5,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.8,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0
Math_8,0.040302267,0,0.01511335,0.997481108,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,1,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,1,0.997481108,0,0.075566751,1,1,0,0.997481108,0.090680101,1,1,0.0302267,0.997481108,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_11,0.040302267,0,0.01511335,1,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,0.997481108,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,0.997481108,1,0,0.075566751,0.997481108,1,0,1,0.090680101,0.997481108,0.997481108,0.0302267,1,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_28,0.365853659,0,0.268292683,0.731707317,0.414634146,0.804878049,0.926829268,0.536585366,0,0.390243902,0,0.048780488,0,0,0,1,0.731707317,0,0,0,0.12195122,0.731707317,0.487804878,0,0,0.195121951,0.902439024,0,0.853658537,0,0,0,0,0.365853659,0.463414634,0,0,0,0,0.609756098,0.634146341,0.804878049,0.512195122,0,0.512195122,0.853658537,0.170731707,0,0.585365854,0,0,0.731707317,0.731707317,0,1,0.731707317,0.731707317,0,0.731707317,0.634146341,0.731707317,0.731707317,0.341463415,0.731707317,0,0,0.048780488,0.853658537,0,0.12195122,0.87804878,0.487804878,0.390243902,0.609756098,0,0.804878049,0,0,0.292682927,0,0.12195122,0.756097561,0.146341463,0.804878049,1
Math_30,0.040302267,0,0.01511335,0.997481108,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,1,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,1,0.997481108,0,0.075566751,1,1,0,0.997481108,0.090680101,1,1,0.0302267,0.997481108,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_32,0.040201005,0,0.015075377,0.997487437,0.030150754,0.118090452,0.072864322,0.045226131,0,0.037688442,0,0,0,0,0,0.173366834,0.997487437,0,0,0,0.015075377,1,0.045226131,0,0,0.022613065,0.33919598,0,0.364321608,0,0,0,0,0.055276382,0.045226131,0,0,0,0,0.045226131,0.055276382,0.08040201,0.052763819,0,0.040201005,0.118090452,0.015075377,0,0.042713568,0,0,0.997487437,0.997487437,0,0.075376884,0.997487437,1,0,0.997487437,0.090452261,0.997487437,0.997487437,0.030150754,0.997487437,0,0,0,0.575376884,0,0.007537688,0.123115578,0.042713568,0.037688442,0.040201005,0,0.989949749,0,0,0.027638191,0,0.010050251,0.070351759,0.005025126,0.118090452,0.105527638
Math_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_50,0.040302267,0,0.01511335,1,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,0.997481108,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,0.997481108,1,0,0.075566751,0.997481108,1,0,1,0.090680101,0.997481108,0.997481108,0.0302267,1,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_52,0.4,0,0.15,0.9,0.3,0.625,0.65,0.45,0,0.325,0,0.025,0,0,0,0.75,0.9,0,0,0,0.175,0.9,0.45,0,0,0.25,0.95,0,0.925,0,0,0,0,0.6,0.35,0,0,0,0,0.45,0.475,0.65,0.5,0,0.4,0.625,0.15,0,0.45,0,0,0.9,0.9,0,0.65,0.9,0.9,0,0.9,1,0.9,0.9,0.275,0.9,0,0,0.025,0.925,0,0.1,0.625,0.375,0.325,0.425,0,0.9,0,0,0.225,0,0.1,0.55,0.1,0.55,0.65
Math_56,0.040302267,0,0.01511335,0.997481108,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,1,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,1,0.997481108,0,0.075566751,1,1,0,0.997481108,0.090680101,1,1,0.0302267,0.997481108,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_57,0.040302267,0,0.01511335,0.997481108,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,1,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,1,0.997481108,0,0.075566751,1,1,0,0.997481108,0.090680101,1,1,0.0302267,0.997481108,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_59,0.47826087,0,0.347826087,0.52173913,0.608695652,0.652173913,0.652173913,0.52173913,0,0.565217391,0,0.043478261,0,0,0,0.782608696,0.52173913,0,0,0,0.086956522,0.52173913,0.608695652,0,0,0.173913043,0.826086957,0,0.826086957,0,0,0,0,0.565217391,0.608695652,0,0,0,0,0.565217391,0.652173913,0.652173913,0.52173913,0,0.565217391,0.652173913,0.304347826,0,0.565217391,0,0,0.52173913,0.52173913,0,0.608695652,0.52173913,0.52173913,0,0.52173913,0.47826087,0.52173913,0.52173913,1,0.52173913,0,0,0.086956522,0.826086957,0,0.173913043,0.652173913,0.739130435,0.565217391,0.695652174,0,0.52173913,0,0,0.391304348,0,0.217391304,0.739130435,0.043478261,0.695652174,0.608695652
Math_62,0.040302267,0,0.01511335,1,0.0302267,0.118387909,0.073047859,0.04534005,0,0.037783375,0,0,0,0,0,0.173803526,0.997481108,0,0,0,0.01511335,1,0.04534005,0,0,0.022670025,0.340050378,0,0.365239295,0,0,0,0,0.055415617,0.04534005,0,0,0,0,0.04534005,0.055415617,0.080604534,0.052896725,0,0.040302267,0.118387909,0.01511335,0,0.042821159,0,0,0.997481108,1,0,0.075566751,0.997481108,1,0,1,0.090680101,0.997481108,0.997481108,0.0302267,1,0,0,0,0.576826196,0,0.007556675,0.123425693,0.042821159,0.037783375,0.040302267,0,0.992443325,0,0,0.027707809,0,0.010075567,0.070528967,0.005037783,0.118387909,0.105793451
Math_63,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0
Math_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
